tanggal;kum_meninggal;kum_sembuh;kum_dirawat;kum_positif;harian_meninggal;harian_sembuh;harian_dirawat;harian_positif
03/01/2020;0;0;0;0;0;0;0;0
03/02/2020;0;0;2;2;0;0;2;2
03/03/2020;0;0;2;2;0;0;0;0
03/04/2020;0;0;2;2;0;0;0;0
03/05/2020;0;0;2;2;0;0;0;0
03/06/2020;0;0;4;4;0;0;2;2
03/07/2020;0;0;4;4;0;0;0;0
03/08/2020;0;0;6;6;0;0;2;2
03/09/2020;0;0;19;19;0;0;13;13
03/10/2020;0;2;25;27;0;2;6;8
03/11/2020;1;2;31;34;1;0;6;7
03/12/2020;1;2;31;34;0;0;0;0
03/13/2020;4;2;63;69;3;0;32;35
03/14/2020;5;8;83;96;1;6;20;27
03/15/2020;5;8;104;117;0;0;21;21
03/16/2020;5;8;121;134;0;0;17;17
03/17/2020;5;9;158;172;0;1;37;38
03/18/2020;19;11;197;227;14;2;39;55
03/19/2020;25;15;269;309;6;4;72;82
03/20/2020;32;17;320;369;7;2;51;60
03/21/2020;38;20;392;450;6;3;72;81
03/22/2020;48;29;437;514;10;9;45;64
03/23/2020;49;30;500;579;1;1;63;65
03/24/2020;55;30;601;686;6;0;101;107
03/25/2020;58;31;701;790;3;1;100;104
03/26/2020;78;35;780;893;20;4;79;103
03/27/2020;87;46;913;1046;9;11;133;153
03/28/2020;102;59;994;1155;15;13;81;109
03/29/2020;114;64;1107;1285;12;5;113;130
03/30/2020;122;75;1217;1414;8;11;110;129
03/31/2020;136;81;1311;1528;14;6;94;114
04/01/2020;157;103;1417;1677;21;22;106;149
04/02/2020;170;112;1508;1790;13;9;91;113
04/03/2020;181;134;1671;1986;11;22;163;196
04/04/2020;191;150;1751;2092;10;16;80;106
04/05/2020;198;164;1911;2273;7;14;160;181
04/06/2020;209;192;2090;2491;11;28;179;218
04/07/2020;221;204;2313;2738;12;12;223;247
04/08/2020;240;222;2494;2956;19;18;181;218
04/09/2020;280;252;2761;3293;40;30;267;337
04/10/2020;306;282;2924;3512;26;30;163;219
04/11/2020;327;286;3229;3842;21;4;305;330
04/12/2020;373;359;3509;4241;46;73;280;399
04/13/2020;399;380;3778;4557;26;21;269;316
04/14/2020;459;426;3954;4839;60;46;176;282
04/15/2020;469;446;4221;5136;10;20;267;297
04/16/2020;496;548;4472;5516;27;102;251;380
04/17/2020;520;607;4796;5923;24;59;324;407
04/18/2020;535;631;5082;6248;15;24;286;325
04/19/2020;582;686;5307;6575;47;55;225;327
04/20/2020;590;747;5423;6760;8;61;116;185
04/21/2020;616;842;5677;7135;26;95;254;375
04/22/2020;635;913;5870;7418;19;71;193;283
04/23/2020;647;960;6168;7775;12;47;298;357
04/24/2020;689;1002;6520;8211;42;42;352;436
04/25/2020;720;1042;6845;8607;31;40;325;396
04/26/2020;743;1107;7032;8882;23;65;187;275
04/27/2020;765;1151;7180;9096;22;44;148;214
04/28/2020;773;1254;7484;9511;8;103;304;415
04/29/2020;784;1391;7596;9771;11;137;112;260
04/30/2020;792;1522;7804;10118;8;131;208;347
05/01/2020;800;1591;8160;10551;8;69;356;433
05/02/2020;831;1665;8347;10843;31;74;187;292
05/03/2020;845;1876;8471;11192;14;211;124;349
05/04/2020;864;1954;8769;11587;19;78;298;395
05/05/2020;872;2197;9002;12071;8;243;233;484
05/06/2020;895;2317;9226;12438;23;120;224;367
05/07/2020;930;2381;9465;12776;35;64;239;338
05/08/2020;943;2494;9675;13112;13;113;210;336
05/09/2020;959;2607;10079;13645;16;113;404;533
05/10/2020;973;2698;10361;14032;14;91;282;387
05/11/2020;991;2881;10393;14265;18;183;32;233
05/12/2020;1007;3063;10679;14749;16;182;286;484
05/13/2020;1028;3287;11123;15438;21;224;444;689
05/14/2020;1043;3518;11445;16006;15;231;322;568
05/15/2020;1076;3803;11617;16496;33;285;172;490
05/16/2020;1089;3911;12025;17025;13;108;408;529
05/17/2020;1148;4129;12237;17514;59;218;212;489
05/18/2020;1191;4324;12495;18010;43;195;258;496
05/19/2020;1221;4467;12808;18496;30;143;313;486
05/20/2020;1242;4575;13372;19189;21;108;564;693
05/21/2020;1278;4838;14046;20162;36;263;674;973
05/22/2020;1326;5057;14413;20796;48;219;367;634
05/23/2020;1351;5249;15145;21745;25;192;732;949
05/24/2020;1372;5402;15497;22271;21;153;352;526
05/25/2020;1391;5642;15717;22750;19;240;220;479
05/26/2020;1418;5877;15870;23165;27;235;153;415
05/27/2020;1473;6057;16321;23851;55;180;451;686
05/28/2020;1496;6240;16802;24538;23;183;481;687
05/29/2020;1520;6492;17204;25216;24;252;402;678
05/30/2020;1573;7015;17185;25773;53;523;-19;557
05/31/2020;1613;7308;17552;26473;40;293;367;700
06/01/2020;1641;7637;17662;26940;28;329;110;467
06/02/2020;1663;7935;17951;27549;22;298;289;609
06/03/2020;1698;8406;18129;28233;35;471;178;684
06/04/2020;1721;8892;18205;28818;23;486;76;585
06/05/2020;1770;9443;18308;29521;49;551;103;703
06/06/2020;1801;9907;18806;30514;31;464;498;993
06/07/2020;1851;10498;18837;31186;50;591;31;672
06/08/2020;1883;10904;19246;32033;32;406;409;847
06/09/2020;1923;11414;19739;33076;40;510;493;1043
06/10/2020;1959;12129;20228;34316;36;715;489;1240
06/11/2020;2000;12636;20659;35295;41;507;431;979
06/12/2020;2048;13213;21145;36406;48;577;486;1111
06/13/2020;2091;13776;21553;37420;43;563;408;1014
06/14/2020;2134;14531;21612;38277;43;755;59;857
06/15/2020;2198;15123;21973;39294;64;592;361;1017
06/16/2020;2231;15703;22466;40400;33;580;493;1106
06/17/2020;2276;16243;22912;41431;45;540;446;1031
06/18/2020;2339;16798;23625;42762;63;555;713;1331
06/19/2020;2373;17349;24081;43803;34;551;456;1041
06/20/2020;2429;17883;24717;45029;56;534;636;1226
06/21/2020;2465;18404;25022;45891;36;521;305;862
06/22/2020;2500;18735;25610;46845;35;331;588;954
06/23/2020;2535;19241;26120;47896;35;506;510;1051
06/24/2020;2573;19658;26778;49009;38;417;658;1113
06/25/2020;2620;20449;27118;50187;47;791;340;1178
06/26/2020;2683;21333;27411;51427;63;884;293;1240
06/27/2020;2720;21909;28183;52812;37;576;772;1385
06/28/2020;2754;22936;28320;54010;34;1027;137;1198
06/29/2020;2805;23800;28487;55092;51;864;167;1082
06/30/2020;2876;24806;28703;56385;71;1006;216;1293
07/01/2020;2934;25595;29241;57770;58;789;538;1385
07/02/2020;2987;26667;29740;59394;53;1072;499;1624
07/03/2020;3036;27568;30091;60695;49;901;351;1301
07/04/2020;3089;28219;30834;62142;53;651;743;1447
07/05/2020;3171;29105;31473;63749;82;886;639;1607
07/06/2020;3241;29919;31798;64958;70;814;325;1209
07/07/2020;3309;30785;32132;66226;68;866;334;1268
07/08/2020;3359;31585;33135;68079;50;800;1003;1853
07/09/2020;3417;32651;34668;70736;58;1066;1533;2657
07/10/2020;3469;33529;35349;72347;52;878;681;1611
07/11/2020;3535;34719;35764;74018;66;1190;415;1671
07/12/2020;3606;35638;36455;75699;71;919;691;1681
07/13/2020;3656;36689;36636;76981;50;1051;181;1282
07/14/2020;3710;37636;37226;78572;54;947;590;1591
07/15/2020;3797;39050;37247;80094;87;1414;21;1522
07/16/2020;3873;40345;37450;81668;76;1295;203;1574
07/17/2020;3957;41834;37339;83130;84;1489;-111;1462
07/18/2020;4016;43268;37598;84882;59;1434;259;1752
07/19/2020;4143;45401;36977;86521;127;2133;-621;1639
07/20/2020;4239;46977;36998;88214;96;1576;21;1693
07/21/2020;4320;48466;37083;89869;81;1489;85;1655
07/22/2020;4459;50255;37037;91751;139;1789;-46;1882
07/23/2020;4576;52164;36917;93657;117;1909;-120;1906
07/24/2020;4665;53945;36808;95418;89;1781;-109;1761
07/25/2020;4714;55354;37218;97286;49;1409;410;1868
07/26/2020;4781;56655;37342;98778;67;1301;124;1492
07/27/2020;4838;58173;37292;100303;57;1518;-50;1525
07/28/2020;4901;60539;36611;102051;63;2366;-681;1748
07/29/2020;4975;62138;37319;104432;74;1599;708;2381
07/30/2020;5058;64292;36986;106336;83;2154;-333;1904
07/31/2020;5131;65907;37338;108376;73;1615;352;2040
08/01/2020;5193;67919;36824;109936;62;2012;-514;1560
08/02/2020;5236;68975;37244;111455;43;1056;420;1519
08/03/2020;5302;70237;37595;113134;66;1262;351;1679
08/04/2020;5388;72050;37618;115056;86;1813;23;1922
08/05/2020;5452;73889;37530;116871;64;1839;-88;1815
08/06/2020;5521;75645;37587;118753;69;1756;57;1882
08/07/2020;5593;77557;38076;121226;72;1912;489;2473
08/08/2020;5658;79306;38539;123503;65;1749;463;2277
08/09/2020;5723;80952;38721;125396;65;1646;182;1893
08/10/2020;5765;82236;39082;127083;42;1284;361;1687
08/11/2020;5824;83710;39242;128776;59;1474;160;1693
08/12/2020;5903;85798;39017;130718;79;2088;-225;1942
08/13/2020;5968;87558;39290;132816;65;1760;273;2098
08/14/2020;6021;89618;39484;135123;53;2060;194;2307
08/15/2020;6071;91321;40076;137468;50;1703;592;2345
08/16/2020;6150;93103;40296;139549;79;1782;220;2081
08/17/2020;6207;94458;40705;141370;57;1355;409;1821
08/18/2020;6277;96306;40460;143043;70;1848;-245;1673
08/19/2020;6346;98657;39942;144945;69;2351;-518;1902
08/20/2020;6418;100674;40119;147211;72;2017;177;2266
08/21/2020;6500;102991;39917;149408;82;2317;-202;2197
08/22/2020;6594;105198;39706;151498;94;2207;-211;2090
08/23/2020;6680;107500;39355;153535;86;2302;-351;2037
08/24/2020;6759;111060;37593;155412;79;3560;-1762;1877
08/25/2020;6858;112867;38134;157859;99;1807;541;2447
08/26/2020;6944;115409;37812;160165;86;2542;-322;2306
08/27/2020;7064;118575;37245;162884;120;3166;-567;2719
08/28/2020;7169;120900;37818;165887;105;2325;573;3003
08/29/2020;7261;122802;39132;169195;92;1902;1314;3308
08/30/2020;7343;124185;40525;172053;82;1383;1393;2858
08/31/2020;7417;125959;41420;174796;74;1774;895;2743
09/01/2020;7505;128057;42009;177571;88;2098;589;2775
09/02/2020;7616;129971;43059;180646;111;1914;1050;3075
09/03/2020;7750;132055;44463;184268;134;2084;1404;3622
09/04/2020;7832;134181;45524;187537;82;2126;1061;3269
09/05/2020;7940;136401;46324;190665;108;2220;800;3128
09/06/2020;8025;138575;47509;194109;85;2174;1185;3444
09/07/2020;8130;140652;48207;196989;105;2077;698;2880
09/08/2020;8230;142958;48847;200035;100;2306;640;3046
09/09/2020;8336;145200;49806;203342;106;2242;959;3307
09/10/2020;8456;147510;51237;207203;120;2310;1431;3861
09/11/2020;8544;150217;52179;210940;88;2707;942;3737
09/12/2020;8650;152458;53638;214746;106;2241;1459;3806
09/13/2020;8723;155010;54649;218382;73;2552;1011;3636
09/14/2020;8841;158405;54277;221523;118;3395;-372;3141
09/15/2020;8965;161065;55000;225030;124;2660;723;3507
09/16/2020;9100;164101;55792;228993;135;3036;792;3963
09/17/2020;9222;166686;56720;232628;122;2585;928;3635
09/18/2020;9336;170774;56409;236519;114;4088;-311;3891
09/19/2020;9448;174350;56889;240687;112;3576;480;4168
09/20/2020;9553;177327;57796;244676;105;2977;907;3989
09/21/2020;9677;180797;58378;248852;124;3470;582;4176
09/22/2020;9837;184298;58788;252923;160;3501;410;4071
