tanggal,kum_meninggal,kum_sembuh,kum_isoman,kum_dirawat,kum_positif,kum_positif_aktif,harian_meninggal,harian_sembuh,harian isoman,harian_dirawat,harian_positif,harian_positif_aktif
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,1,0,0,2,3,2,1,0,0,2,3,2
03/04/2020,1,0,0,2,3,2,0,0,0,0,0,0
03/05/2020,3,0,0,4,7,4,2,0,0,2,4,2
03/06/2020,3,0,0,4,7,4,0,0,0,0,0,0
03/07/2020,3,0,0,4,7,4,0,0,0,0,0,0
03/08/2020,3,0,0,4,7,4,0,0,0,0,0,0
03/09/2020,3,0,0,31,34,31,0,0,0,27,27,27
03/10/2020,3,0,0,31,34,31,0,0,0,0,0,0
03/11/2020,3,0,0,33,36,33,0,0,0,2,2,2
03/12/2020,5,0,0,57,62,57,2,0,0,24,26,24
03/13/2020,7,0,0,65,72,65,2,0,0,8,10,8
03/14/2020,9,0,0,70,79,70,2,0,0,5,7,5
03/15/2020,11,0,0,84,95,84,2,0,0,14,16,14
03/16/2020,12,0,7,78,97,85,1,0,7,-6,2,1
03/17/2020,12,0,27,83,122,110,0,0,20,5,25,25
03/18/2020,15,12,42,91,160,133,3,12,15,8,38,23
03/19/2020,19,13,57,121,210,178,4,1,15,30,50,45
03/20/2020,20,13,66,125,224,191,1,0,9,4,14,13
03/21/2020,23,17,71,157,268,228,5,4,5,32,44,37
03/22/2020,29,21,77,177,304,254,4,4,6,20,36,26
03/23/2020,29,22,79,225,355,304,2,1,2,48,52,50
03/24/2020,34,23,109,260,426,369,3,1,30,35,70,65
03/25/2020,43,27,112,290,472,402,9,4,3,30,46,33
03/26/2020,49,29,113,324,515,437,6,2,1,34,43,35
03/27/2020,57,31,132,346,566,478,8,2,19,22,51,41
03/28/2020,62,43,134,364,603,498,5,12,2,18,37,20
03/29/2020,67,48,151,435,701,586,5,5,17,71,98,88
03/30/2020,78,49,151,449,727,600,11,1,0,14,26,14
03/31/2020,84,49,157,451,741,608,6,0,6,2,14,8
04/01/2020,90,51,176,499,816,675,6,2,19,48,75,67
04/02/2020,95,54,195,565,909,760,5,3,19,66,93,85
04/03/2020,98,56,209,627,990,836,3,2,14,62,81,76
04/04/2020,99,58,223,691,1071,914,1,2,14,64,81,78
04/05/2020,123,64,279,685,1151,964,24,6,56,-6,80,50
04/06/2020,131,68,317,783,1299,1100,8,4,38,98,148,136
04/07/2020,141,69,338,895,1443,1233,10,1,21,112,144,133
04/08/2020,144,75,357,976,1552,1333,3,6,19,81,109,100
04/09/2020,155,82,405,1077,1719,1482,11,7,48,101,167,149
04/10/2020,156,82,433,1139,1810,1572,1,0,28,62,91,90
04/11/2020,168,142,441,1152,1903,1593,12,60,8,13,93,21
04/12/2020,195,142,468,1277,2082,1745,27,0,27,125,179,152
04/13/2020,209,142,521,1370,2242,1891,14,0,53,93,160,146
04/14/2020,243,163,558,1385,2349,1943,34,21,37,15,107,52
04/15/2020,246,164,613,1424,2447,2037,3,1,55,39,98,94
04/16/2020,248,202,619,1601,2670,2220,2,38,6,177,223,183
04/17/2020,250,203,643,1727,2823,2370,2,1,24,126,153,150
04/18/2020,257,206,670,1769,2902,2439,7,3,27,42,79,69
04/19/2020,292,207,695,1839,3033,2534,35,1,25,70,131,95
04/20/2020,297,237,752,1826,3112,2578,5,30,57,-13,79,44
04/21/2020,305,286,753,1935,3279,2688,8,49,1,109,167,110
04/22/2020,308,291,815,1985,3399,2800,3,5,62,50,120,112
04/23/2020,316,292,888,2010,3506,2898,8,1,73,25,107,98
