tanggal,total_pasien,sembuh,meninggal,isoman,perawatan,belum_diketahui,menunggu_hasil,nakes_terinfeksi,harian_positif,harian_positif_aktif,harian_sembuh,tanpa_gejala,dengan_gejala,tanpa_data
01/03/2020,0,0,0,0,0,,,,0,0,0,,,
02/03/2020,0,0,0,0,0,,,,0,0,0,,,
03/03/2020,3,0,1,0,2,,,,3,2,0,,,
04/03/2020,3,0,1,0,2,,,,0,2,0,,,
05/03/2020,7,0,3,0,4,,,,4,4,0,,,
06/03/2020,7,0,3,0,4,,,,0,4,0,,,
07/03/2020,7,0,3,0,4,,,,0,4,0,,,
08/03/2020,7,0,3,0,4,,,,0,4,0,,,
09/03/2020,34,0,3,0,31,,,,27,31,0,,,
10/03/2020,34,0,3,0,31,,,,0,31,0,,,
11/03/2020,36,0,3,0,33,,,,2,33,0,,,
12/03/2020,62,0,5,0,57,,,,26,57,0,,,
13/03/2020,72,0,7,0,65,,,,10,65,0,,,
14/03/2020,79,0,9,0,70,,,,7,70,0,,,
15/03/2020,95,0,11,0,84,,,,16,84,0,,,
16/03/2020,97,0,12,7,78,,,,2,85,0,,,
17/03/2020,122,0,12,27,83,,,,25,110,0,,,
18/03/2020,160,12,15,42,91,,,,38,133,12,,,
19/03/2020,210,13,19,57,121,,,,50,178,1,,,
20/03/2020,224,13,20,66,125,,345,25,14,191,0,,,
21/03/2020,268,17,23,71,157,,375,28,44,228,4,,,
22/03/2020,304,21,29,77,177,,393,37,36,254,4,,,
23/03/2020,355,22,29,79,225,,431,42,51,304,1,,,
24/03/2020,426,23,34,109,260,,445,44,71,369,1,,,
25/03/2020,472,27,43,112,290,,479,47,46,402,4,,,
26/03/2020,515,29,49,113,324,,,,43,437,2,,,
27/03/2020,566,31,57,132,346,,,,51,478,2,,,
28/03/2020,603,43,62,134,364,,,,37,498,12,,,
29/03/2020,701,48,67,151,435,,,,98,586,5,,,
30/03/2020,727,49,78,151,449,,,,26,600,1,,,
31/03/2020,741,49,84,157,451,,,,14,608,0,,,
01/04/2020,816,51,90,176,499,,,,75,675,2,,,
02/04/2020,909,54,95,195,565,,,,93,760,3,,,
03/04/2020,990,56,98,209,627,,,,81,836,2,,,
04/04/2020,1071,58,99,223,691,,,,81,914,2,,,
05/04/2020,1151,64,123,279,685,,,,80,964,6,,,
06/04/2020,1299,68,131,317,783,,,,148,1100,4,,,
07/04/2020,1443,69,141,338,895,,,,144,1233,1,,,
08/04/2020,1552,75,144,357,976,,,,109,1333,6,,,
09/04/2020,1719,82,155,405,1077,,,,167,1482,7,,,
10/04/2020,1810,82,156,433,1139,,,,91,1572,0,,,
11/04/2020,1903,142,168,441,1152,,,,93,1593,60,,,
12/04/2020,2082,142,195,468,1277,,,,179,1745,0,,,
13/04/2020,2242,142,209,521,1370,,,,160,1891,0,,,
14/04/2020,2349,163,243,558,1385,,,,107,1943,21,,,
15/04/2020,2447,164,246,613,1424,,,,98,2037,1,,,
16/04/2020,2670,202,248,619,1601,,,,223,2220,38,,,
17/04/2020,2823,203,250,643,1727,,,,153,2370,1,,,
18/04/2020,2902,206,257,670,1769,,,,79,2439,3,,,
19/04/2020,3033,207,292,695,1839,,,,131,2534,1,,,
20/04/2020,3112,237,297,752,1826,,,,79,2578,30,,,
21/04/2020,3279,286,305,753,1935,,,,167,2688,49,,,
22/04/2020,3399,291,308,815,1985,,,,120,2800,5,,,
23/04/2020,3506,292,316,888,2010,,,,107,2898,1,,,
24/04/2020,3605,327,331,959,1988,,,,99,2947,35,,,
25/04/2020,3681,334,350,1050,1947,,,,76,2997,7,,,
26/04/2020,3746,338,357,1099,1952,,,,65,3051,4,,,
27/04/2020,3832,338,375,1169,1950,,,,86,3119,0,,,
28/04/2020,3950,341,379,1206,2024,,,,118,3230,3,,,
29/04/2020,4033,412,381,1238,2002,,,,83,3240,71,,,
30/04/2020,4138,412,381,1272,2073,,,,105,3345,0,,,
01/05/2020,4283,427,393,1312,2151,,,,145,3463,15,,,
02/05/2020,4355,562,400,1304,2089,,,,72,3393,135,,,
03/05/2020,4417,622,410,1323,2062,,,,62,3385,60,,,
04/05/2020,4472,650,412,1330,2080,,,,55,3410,28,,,
05/05/2020,4641,711,414,1370,2146,,,,169,3516,61,,,
06/05/2020,4709,713,420,1381,2195,,,,68,3576,2,,,
07/05/2020,4775,718,430,1431,2196,,,,66,3627,5,,,
08/05/2020,4901,763,431,1426,2281,,,,126,3707,45,,,
09/05/2020,4958,767,437,1442,2312,,,,57,3754,4,,,
10/05/2020,5140,803,444,1533,2360,,,,182,3893,36,,,
11/05/2020,5195,836,453,1648,2258,,,,55,3906,33,,,
12/05/2020,5303,1262,457,1741,1843,,,,108,3584,426,,,
13/05/2020,5437,1277,461,1866,1833,,,,134,3699,15,,,
14/05/2020,5617,1279,466,1995,1877,,,,180,3872,2,,,
15/05/2020,5679,1286,474,2019,1900,,,,62,3919,7,,,
16/05/2020,5795,1292,475,2120,1908,,,,116,4028,6,,,
17/05/2020,5922,1295,478,2217,1932,,,,127,4149,3,,,
18/05/2020,5996,1301,483,2266,1946,,,,74,4212,6,,,
19/05/2020,6053,1417,487,2213,1936,,,,57,4149,116,,,
20/05/2020,6150,1425,493,2263,1969,,,,97,4232,8,,,
21/05/2020,6220,1536,498,2231,1955,,,,70,4186,111,,,
22/05/2020,6316,1558,501,2282,1975,,,,96,4257,22,,,
23/05/2020,6443,1587,504,2346,2006,,,,127,4352,29,,,
24/05/2020,6561,1594,505,2431,2031,,,,118,4462,7,,,
25/05/2020,6628,1648,506,2430,2044,,,,67,4474,54,,,
26/05/2020,6689,1678,508,2459,2044,,,,61,4503,30,,,
27/05/2020,6826,1698,510,2584,2034,,,,137,4618,20,,,
28/05/2020,6929,1719,514,2641,2055,,,,103,4696,21,,,
29/05/2020,7053,1807,517,2722,2007,,,,124,4729,88,,,
30/05/2020,7151,2003,519,2781,1848,,,,98,4629,196,,,
31/05/2020,7272,2102,520,2827,1823,,,,121,4650,99,,,
01/06/2020,7383,2246,521,2822,1794,,,,111,4616,144,,,
02/06/2020,7459,2405,525,2786,1743,,,,76,4529,159,,,
03/06/2020,7539,2534,529,2777,1699,,,,80,4476,129,,,
04/06/2020,7600,2607,530,2793,1670,,,,61,4463,73,,,
05/06/2020,7684,2751,532,2768,1633,,,,84,4401,144,,,
06/06/2020,7786,2840,535,2776,1635,,,,102,4411,89,,,
07/06/2020,7946,3170,537,2794,1445,,,,160,4239,330,,,
08/06/2020,8037,3205,538,2846,1448,,,,91,4294,35,,,
09/06/2020,8276,3369,547,2918,1442,,,,239,4360,164,,,
10/06/2020,8423,3517,551,2928,1427,,,,147,4355,148,,,
11/06/2020,8552,3664,555,2887,1446,,,,129,4333,147,,,
12/06/2020,8628,3780,561,2863,1424,,,,76,4287,116,,,
13/06/2020,8748,3840,564,2925,1419,,,,120,4344,60,,,
14/06/2020,8863,4091,571,2833,1368,,,,115,4201,251,,,
15/06/2020,8968,4198,580,2800,1390,,,,105,4190,107,,,
16/06/2020,9092,4329,583,2764,1416,,,,124,4180,131,,,
17/06/2020,9209,4444,588,2775,1402,,,,117,4177,115,,,
18/06/2020,9385,4592,594,2822,1377,,,,176,4199,148,,,
19/06/2020,9525,4682,599,2862,1382,,,,140,4244,90,,,
20/06/2020,9703,4821,603,2939,1340,,,,178,4279,139,,,
21/06/2020,9830,5054,615,2874,1287,,,,127,4161,233,,,
22/06/2020,9957,5128,618,2901,1310,,,,127,4211,74,,,
23/06/2020,10123,5228,619,2957,1319,,,,166,4276,100,,,
24/06/2020,10277,5322,628,2978,1349,,,,154,4327,94,,,
25/06/2020,10472,5435,631,3068,1338,,,,195,4406,113,,,
26/06/2020,10640,5542,632,3136,1330,,,,168,4466,107,,,
27/06/2020,10853,5610,632,3256,1355,,,,213,4611,68,,,
28/06/2020,10985,5865,635,3163,1322,,,,132,4485,255,,,
29/06/2020,11080,6118,636,3299,1027,,,,95,4326,253,,,
30/06/2020,11276,6512,641,3172,951,,,,196,4123,394,,,
01/07/2020,11482,6680,644,3269,889,,,,206,4158,168,,,
02/07/2020,11677,6871,646,3356,804,,,,195,4160,191,,,
03/07/2020,11824,7109,648,3331,736,,,,147,4067,238,,,
04/07/2020,12039,7377,650,3366,646,,,,215,4012,268,,,
05/07/2020,12295,7663,658,3390,584,,,,256,3974,286,,,
06/07/2020,12526,8033,658,3340,495,,,,231,3835,370,,,
07/07/2020,12725,8277,664,3379,405,,,,199,3784,244,,,
08/07/2020,13069,8429,667,3556,417,,,,344,3973,152,,,
09/07/2020,13359,8647,677,3584,451,,,,290,4035,218,,,
10/07/2020,13598,8825,684,3613,476,,,,239,4089,178,,,
11/07/2020,13957,9040,690,3732,495,,,,359,4227,215,,,
12/07/2020,14361,9200,702,3905,554,,,,404,4459,160,,,
13/07/2020,14639,9408,710,3924,597,,,,278,4521,208,,,
14/07/2020,14914,9528,714,4053,619,,,,275,4672,120,,,
15/07/2020,15173,9721,720,4041,691,,,,259,4732,193,,,
16/07/2020,15466,9857,722,4110,777,,,,293,4887,136,,,
17/07/2020,15707,9994,731,4156,826,,,,241,4982,137,,,
18/07/2020,16038,10117,740,4289,892,,,,331,5181,123,,,
19/07/2020,16351,10444,748,4236,923,,,,313,5159,327,8503,5362,2486
20/07/2020,16712,10602,749,4335,1026,,,,361,5361,158,8356,5760,2596
21/07/2020,17153,10864,758,4458,1073,,,,441,5531,262,8577,5832,2744
22/07/2020,17529,11187,766,4383,1193,,,,376,5576,323,8767,5962,2800
23/07/2020,17945,11302,767,4675,1201,,,,416,5876,115,8770,6283,2892
24/07/2020,18230,11585,768,4577,1300,,,,285,5877,283,8770,6283,3177
25/07/2020,18623,11715,769,4729,1410,,,,393,6139,130,8939,6332,3352
26/07/2020,19001,11889,779,4842,1491,,,,378,6333,174,9120,6460,3421
27/07/2020,19473,11996,782,4993,1702,,,,472,6695,107,9348,6621,3504
