Tanggal,Pemakaman_COVID19_Harian,Total_Pemakaman_COVID19,Pemakaman_Umum_Harian,Total_Pemakaman_Umum
01/03/2020,0,0,150,150
02/03/2020,0,0,136,286
03/03/2020,0,0,135,421
04/03/2020,0,0,116,537
05/03/2020,0,0,124,661
06/03/2020,1,1,158,819
07/03/2020,0,1,144,963
08/03/2020,0,1,106,1069
09/03/2020,0,1,145,1214
10/03/2020,0,1,146,1360
11/03/2020,0,1,148,1508
12/03/2020,1,2,154,1662
13/03/2020,2,4,124,1786
14/03/2020,2,6,162,1948
15/03/2020,0,6,119,2067
16/03/2020,4,10,128,2195
17/03/2020,4,14,135,2330
18/03/2020,8,22,122,2452
19/03/2020,7,29,108,2560
20/03/2020,8,37,138,2698
21/03/2020,10,47,118,2816
22/03/2020,18,65,150,2966
23/03/2020,22,87,151,3117
24/03/2020,20,107,119,3236
25/03/2020,33,140,160,3396
26/03/2020,35,175,117,3513
27/03/2020,31,206,150,3663
28/03/2020,30,236,141,3804
29/03/2020,47,283,153,3957
30/03/2020,33,316,140,4097
31/03/2020,38,354,148,4245
01/04/2020,47,401,134,4379
02/04/2020,53,454,150,4529
03/04/2020,50,504,146,4675
04/04/2020,44,548,135,4810
05/04/2020,48,596,135,4945
06/04/2020,48,644,123,5068
07/04/2020,53,697,146,5214
08/04/2020,54,751,136,5350
09/04/2020,47,798,136,5486
10/04/2020,37,835,154,5640
11/04/2020,39,874,143,5783
12/04/2020,52,926,145,5928
13/04/2020,40,966,125,6053
14/04/2020,46,1012,147,6200
15/04/2020,31,1043,138,6338
16/04/2020,32,1075,126,6464
17/04/2020,42,1117,148,6612
18/04/2020,47,1164,108,6720
19/04/2020,29,1193,147,6867
20/04/2020,36,1229,134,7001
21/04/2020,38,1267,132,7133
22/04/2020,49,1316,123,7256
23/04/2020,45,1361,107,7363
24/04/2020,40,1401,129,7492
25/04/2020,44,1445,114,7606
26/04/2020,27,1472,137,7743
27/04/2020,38,1510,140,7883
28/04/2020,38,1548,137,8020
29/04/2020,25,1573,130,8150
30/04/2020,22,1595,114,8264
01/05/2020,35,1630,116,8380
02/05/2020,47,1677,159,8539
03/05/2020,26,1703,123,8662
04/05/2020,36,1739,136,8798
05/05/2020,36,1775,128,8926
06/05/2020,35,1810,118,9044
07/05/2020,28,1838,116,9160
08/05/2020,35,1873,119,9279
09/05/2020,30,1903,108,9387
10/05/2020,35,1938,120,9507
11/05/2020,27,1965,135,9642
12/05/2020,32,1997,136,9778
13/05/2020,38,2035,124,9902
14/05/2020,32,2067,142,10044
15/05/2020,28,2095,137,10181
16/05/2020,37,2132,121,10302
17/05/2020,34,2166,113,10415
18/05/2020,30,2196,104,10519
19/05/2020,30,2226,92,10611
20/05/2020,24,2250,136,10747
21/05/2020,20,2270,128,10875
22/05/2020,18,2288,111,10986
23/05/2020,21,2309,103,11089
24/05/2020,20,2329,122,11211
25/05/2020,20,2349,139,11350
26/05/2020,38,2387,109,11459
27/05/2020,24,2411,108,11567
28/05/2020,22,2433,122,11689
29/05/2020,20,2453,117,11806
30/05/2020,20,2473,121,11927
31/05/2020,14,2487,122,12049
01/06/2020,17,2504,112,12161
02/06/2020,19,2523,129,12290
03/06/2020,23,2546,124,12414
04/06/2020,24,2570,119,12533
05/06/2020,18,2588,122,12655
06/06/2020,21,2609,121,12776
07/06/2020,19,2628,131,12907
08/06/2020,21,2649,138,13045
09/06/2020,22,2671,122,13167
10/06/2020,15,2686,113,13280
11/06/2020,15,2701,131,13411
12/06/2020,21,2722,120,13531
13/06/2020,17,2739,95,13626
14/06/2020,30,2769,140,13766
15/06/2020,17,2786,132,13898
16/06/2020,10,2796,133,14031
17/06/2020,22,2818,103,14134
18/06/2020,16,2834,45,14179
19/06/2020,15,2849,119,14298
20/06/2020,25,2874,125,14423
21/06/2020,18,2892,120,14543
22/06/2020,28,2920,124,14667
23/06/2020,27,2947,123,14790
24/06/2020,12,2959,129,14919
25/06/2020,12,2971,125,15044
