tanggal,nakes_target_vaksinasi,nakes_vaksinasi_1,nakes_vaksinasi_2,nakes_vaksinasi_1_presentase,nakes_vaksinasi_2_presentase,lansia_target_vaksinasi,lansia_vaksinasi_1,lansia_vaksinasi_2,lansia_vaksinasi_1_presentase,lansia_vaksinasi_2_presentase,pns_target_vaksinasi,pns_vaksinasi_1,nakes_vaksinasi_2,pns_vaksinasi_1_presentase,pns_vaksinasi_2_presentase,total_target_vaksinasi,total_vaksinasi_1,total_vaksinasi_2,total_vaksinasi_1_presentase,total_vaksinasi_2_presentase,vaksinasi_harian_1,vaksinasi_harian_2,umum_target_vaksinasi,umum_vaksinasi_1,umum_vaksinasi_2,umum_vaksinasi_1_presentase,umum_vaksinasi_2_presentase
5 March 2021,1468764,1692016,1111938,115.2%,75.7%,21553118,179711,2,0.8%,0.0%,17327169,541888,2597,3.1%,0.0%,40349051,2413615,1114537,6.0%,2.8%,,,,,,,
6 March 2021,1468764,1741784,1126353,118.6%,76.7%,21553118,206025,2,1.0%,0.0%,17327169,604456,4169,3.5%,0.0%,40349051,2552265,1130524,6.3%,2.8%,,,,,,,
7 March 2021,1468764,2049651,1129340,139.5%,76.9%,21553118,215632,2,1.0%,0.0%,17327169,623474,4445,3.6%,0.0%,40349051,2888757,1133787,7.2%,2.8%,,,,,,,
8 March 2021,1468764,2114655,1149547,144.0%,78.3%,21553118,267603,5,1.2%,0.0%,17327169,715767,8880,4.1%,0.1%,40349051,3098025,1158432,7.7%,2.9%,,,,,,,
9 March 2021,1468764,1395498,1127633,95.0%,76.8%,21553118,430591,1612,2.0%,0.0%,17327169,1510937,68527,8.7%,0.4%,40349051,3337026,1197772,8.3%,3.0%,,,,,,,
10 March 2021,1468764,1395498,1127633,95.0%,76.8%,21553118,494125,2694,2.3%,0.0%,17327169,1682896,119495,9.7%,0.7%,40349051,3572519,1249822,8.9%,3.1%,,,,,,,
11 March 2021,1468764,1402959,1147846,95.5%,78.2%,21553118,525891,3080,2.4%,0.0%,17327169,1767209,144689,10.2%,0.8%,40349051,3696059,1295615,9.2%,3.2%,,,,,,,
12 March 2021,1468764,1402959,1147846,95.5%,78.2%,21553118,525891,3080,2.4%,0.0%,17327169,1767209,144689,10.2%,0.8%,40349051,3696059,1295615,9.2%,3.2%,,,,,,,
13 March 2021,1468764,1412736,1171385,96.2%,79.8%,21553118,625665,4497,2.9%,0.0%,17327169,1947195,278954,11.2%,1.6%,40349051,3985596,1454836,9.9%,3.6%,,,,,,,
14 March 2021,1468764,1413684,1172848,96.2%,79.9%,21553118,638492,4530,3.0%,0.0%,17327169,1967948,282844,11.4%,1.6%,40349051,4020124,1460222,10.0%,3.6%,,,,,,,
15 March 2021,1468764,1418620,1183715,96.6%,80.6%,21553118,701583,5151,3.3%,0.0%,17327169,2046659,383920,11.8%,2.2%,40349051,4166862,1572786,10.3%,3.9%,,,,,,,
16 March 2021,1468764,1425885,1196387,97.1%,81.5%,21553118,770545,5844,3.6%,0.0%,17327169,2272399,514516,13.1%,3.0%,40349051,4468829,1716747,11.1%,4.3%,,,,,,,
17 March 2021,1468764,1431713,1208113,97.5%,82.3%,21553118,836628,6600,3.9%,0.0%,17327169,2436907,661427,14.1%,3.8%,40349051,4705248,1876140,11.7%,4.6%,,,,,,,
18 March 2021,1468764,1437642,1221179,97.9%,83.1%,21553118,905102,7106,4.2%,0.0%,17327169,2616319,840115,15.1%,4.8%,40349051,4959063,2068400,12.3%,5.1%,,,,,,,
19 March 2021,1468764,1442440,1231104,98.2%,83.8%,21553118,954828,7590,4.4%,0.0%,17327169,2727680,982506,15.7%,5.7%,40349051,5124948,2221200,12.7%,5.5%,,,,,,,
20 March 2021,1468764,1442440,1231104,98.2%,83.8%,21553118,954828,7590,4.4%,0.0%,17327169,2727680,982506,15.7%,5.7%,40349051,5124948,2221200,12.7%,5.5%,,,,,,,
21 March 2021,1468764,1446141,1236791,98.5%,84.2%,21553118,1011483,8534,4.7%,0.0%,17327169,3109656,1067271,17.9%,6.2%,40349051,5567280,2312596,13.8%,5.7%,,,,,,,
22 March 2021,1468764,1449757,1245055,98.7%,84.8%,21553118,1011483,8534,4.7%,0.0%,17327169,3221959,1237961,18.6%,7.1%,40349051,5683199,2491550,14.1%,6.2%,,,,,,,
23 March 2021,1468764,1453841,1254761,99.0%,85.4%,21553118,1125037,22286,5.2%,0.1%,17327169,3399373,1432498,19.6%,8.3%,40349051,5978251,2709545,14.8%,6.7%,,,,,,,
24 March 2021,1468764,1458033,1263152,99.3%,86.0%,21553118,1225564,38904,5.7%,0.2%,17327169,3706240,1638960,21.4%,9.5%,40349051,6389837,2941016,15.8%,7.3%,,,,,,,
25 March 2021,1468764,1461489,1266029,99.5%,86.2%,21553118,1301782,57227,6.0%,0.3%,17327169,3967185,1691934,22.9%,9.8%,40349051,6730456,3015190,16.7%,7.5%,,,,,,,
26 March 2021,1468764,1464650,1270999,99.7%,86.5%,21553118,1356432,78322,6.3%,0.4%,17327169,4169000,1803291,24.1%,10.4%,40349051,6990082,3152612,17.3%,7.8%,,,,,,,
27 March 2021,1468764,1429532,1272381,97.3%,86.6%,21553118,1394731,93529,6.5%,0.4%,17327169,4312074,1857872,24.9%,10.7%,40349051,7136337,3223782,17.7%,8.0%,,,,,,,
28 March 2021,1468764,1430428,1273417,97.4%,86.7%,21553118,1414656,101709,6.6%,0.5%,17327169,4405955,1871683,25.4%,10.8%,40349051,7251039,3246809,18.0%,8.0%,,,,,,,
29 March 2021,1468764,1432153,1275981,97.5%,86.9%,21553118,1453977,118546,6.7%,0.6%,17327169,4549721,1936112,26.3%,11.2%,40349051,7435851,3330639,18.4%,8.3%,,,,,,,
30 March 2021,1468764,1435351,1282214,97.7%,87.3%,21553118,1546269,159823,7.2%,0.7%,17327169,4858404,2119155,28.0%,12.2%,40349051,7840024,3561192,19.4%,8.8%,,,,,,,
31 March 2021,1468764,1438016,1286168,97.9%,87.6%,21553118,1616340,183141,7.5%,0.8%,17327169,5061358,2247772,29.2%,13.0%,40349051,8115714,3717081,20.1%,9.2%,,,,,,,
1 April 2021,1468764,1440648,1289711,98.1%,87.8%,21553118,1672730,213333,7.8%,1.0%,17327169,5258199,2351407,30.3%,13.6%,40349051,8371577,3854451,20.7%,9.6%,,,,,,,
2 April 2021,1468764,1441069,1290437,98.1%,87.9%,21553118,1679615,217777,7.8%,1.0%,17327169,5304045,2359548,30.6%,13.6%,40349051,8424729,3867762,20.9%,9.6%,,,,,,,
3 April 2021,1468764,1441529,1292170,98.1%,88.0%,21553118,1706928,254973,7.9%,1.2%,17327169,5396453,2407200,31.1%,13.9%,40349051,8544910,3954343,21.2%,9.8%,,,,,,,
4 April 2021,1468764,1441914,1293500,98.2%,88.1%,21553118,1721077,261638,8.0%,1.2%,17327169,5466191,2459263,31.5%,14.2%,40349051,8629182,4014401,21.4%,9.9%,,,,,,,
5 April 2021,1468764,1443385,1297351,98.3%,88.3%,21553118,1771003,329227,8.2%,1.5%,17327169,5641985,2604222,32.6%,15.0%,40349051,8856373,4230800,21.9%,10.5%,,,,,,,
6 April 2021,1468764,1444800,1300745,98.4%,88.6%,21553118,1813087,400533,8.4%,1.9%,17327169,5763219,2730226,33.3%,15.8%,40349051,9021106,4431504,22.4%,11.0%,,,,,,,
7 April 2021,1468764,1445970,1302596,98.4%,88.7%,21553118,1844923,439807,8.6%,2.0%,17327169,5905406,2812292,34.1%,16.2%,40349051,9196299,4554695,22.8%,11.3%,,,,,,,
8 April 2021,1468764,1447505,1304661,98.6%,88.8%,21553118,1886623,461735,8.8%,2.1%,17327169,6039462,2931000,34.9%,16.9%,40349051,9373590,4697396,23.2%,11.6%,,,,,,,
9 April 2021,1468764,1451679,1309418,98.8%,89.2%,21553118,1970580,541811,9.1%,2.5%,17327169,6386485,3100990,36.9%,17.9%,40349051,9808744,4952219,24.3%,12.3%,,,,,,,
10 April 2021,1468764,1453325,1310929,98.9%,89.3%,21553118,2019832,588340,9.4%,2.7%,17327169,6529170,3179779,37.7%,18.4%,40349051,10002327,5079048,24.8%,12.6%,,,,,,,
11 April 2021,1468764,1453701,1311259,99.0%,89.3%,21553118,2030311,597464,9.4%,2.8%,17327169,6564802,3193198,37.9%,18.4%,40349051,10048814,5101921,24.9%,12.6%,,,,,,,
12 April 2021,1468764,1455949,1314396,99.1%,89.5%,21553118,2088158,672035,9.7%,3.1%,17327169,6735239,3336070,38.9%,19.3%,40349051,10279346,5322501,25.5%,13.2%,,,,,,,
13 April 2021,1468764,1457405,1316347,99.2%,89.6%,21553118,2108512,722410,9.8%,3.4%,17327169,6811090,3394098,39.3%,19.6%,40349051,10377007,5432855,25.7%,13.5%,,,,,,,
14 April 2021,1468764,1459169,1318528,99.3%,89.8%,21553118,2131067,781975,9.9%,3.6%,17327169,6890942,3472356,39.8%,20.0%,40349051,10481178,5572859,26.0%,13.8%,,,,,,,
15 April 2021,1468764,1460747,1321085,99.5%,89.9%,21553118,2155898,844895,10.0%,3.9%,17327169,6983097,3549833,40.3%,20.5%,40349051,10599742,5715813,26.3%,14.2%,,,,,,,
16 April 2021,1468764,1464225,1323006,99.7%,90.1%,21553118,2178289,898025,10.1%,4.2%,17327169,7066375,3600857,40.8%,20.8%,40349051,10708889,5821888,26.5%,14.4%,,,,,,,
17 April 2021,1468764,1465021,1323987,99.7%,90.1%,21553118,2199326,930003,10.2%,4.3%,17327169,7139477,3636800,41.2%,21.0%,40349051,10803824,5890790,26.8%,14.6%,,,,,,,
18 April 2021,1468764,1465210,1324382,99.8%,90.2%,21553118,2203494,936963,10.2%,4.3%,17327169,7159290,3649998,41.3%,21.1%,40349051,10827994,5911343,26.8%,14.7%,,,,,,,
19 April 2021,1468764,1466675,1325963,99.9%,90.3%,21553118,2237282,1002268,10.4%,4.7%,17327169,7267647,3724381,41.9%,21.5%,40349051,10971604,6052612,27.2%,15.0%,,,,,,,
20 April 2021,1468764,1467860,1327443,99.9%,90.4%,21553118,2264590,1040757,10.5%,4.8%,17327169,7383064,3790548,42.6%,21.9%,40349051,11115514,6158748,27.5%,15.3%,,,,,,,
21 April 2021,1468764,1480525,1338926,100.8%,91.2%,21553118,2298131,1111339,10.7%,5.2%,17327169,7522899,3891666,43.4%,22.5%,40349051,11301555,6341931,28.0%,15.7%,,,,,,,
22 April 2021,1468764,1481515,1340196,100.9%,91.2%,21553118,2328940,1170028,10.8%,5.4%,17327169,7621517,3977973,44.0%,23.0%,40349051,11431972,6488197,28.3%,16.1%,,,,,,,
23 April 2021,1468764,1483781,1342774,101.0%,91.4%,21553118,2357556,1225863,10.9%,5.7%,17327169,7745803,4108511,44.7%,23.7%,40349051,11587140,6677148,28.7%,16.5%,,,,,,,
24 April 2021,1468764,1484971,1344232,101.1%,91.5%,21553118,2384567,1263040,11.1%,5.9%,17327169,7848268,4190969,45.3%,24.2%,40349051,11717806,6798241,29.0%,16.8%,,,,,,,
25 April 2021,1468764,1485102,1344441,101.1%,91.5%,21553118,2386671,1269557,11.1%,5.9%,17327169,7869046,4215417,45.4%,24.3%,40349051,11740819,6829415,29.1%,16.9%,,,,,,,
26 April 2021,1468764,1486574,1346352,101.2%,91.7%,21553118,2417375,1332721,11.2%,6.2%,17327169,7967909,4344278,46.0%,25.1%,40349051,11871858,7023351,29.4%,17.4%,,,,,,,
27 April 2021,1468764,1488135,1348327,101.3%,91.8%,21553118,2450582,1390926,11.4%,6.5%,17327169,8076455,4475281,46.6%,25.8%,40349051,12015172,7214534,29.8%,17.9%,,,,,,,
28 April 2021,1468764,1489628,1350703,101.4%,92.0%,21553118,2484374,1451949,11.5%,6.7%,17327169,8175635,4608443,47.2%,26.6%,40349051,12149637,7411095,30.1%,18.4%,,,,,,,
29 April 2021,1468764,1491053,1352846,101.5%,92.1%,21553118,2520487,1499869,11.7%,7.0%,17327169,8294475,4730728,47.9%,27.3%,40349051,12306015,7583443,30.5%,18.8%,,,,,,,
30 April 2021,1468764,1492208,1353880,101.6%,92.2%,21553118,2545562,1511246,11.8%,7.0%,17327169,8383743,4781158,48.4%,27.6%,40349051,12421513,7646284,30.8%,19.0%,,,,,,,
1 May 2021,1468764,1492380,1354040,101.6%,92.2%,21553118,2548948,1516279,11.8%,7.0%,17327169,8415096,4808166,48.6%,27.7%,40349051,12456424,7678485,30.9%,19.0%,,,,,,,
2 May 2021,1468764,1492468,1354159,101.6%,92.2%,21553118,2550173,1519705,11.8%,7.1%,17327169,8426025,4829246,48.6%,27.9%,40349051,12468666,7703110,30.9%,19.1%,,,,,,,
3 May 2021,1468764,1493588,1355942,101.7%,92.3%,21553118,2574276,1559008,11.9%,7.2%,17327169,8503507,4935457,49.1%,28.5%,40349051,12571371,7850407,31.2%,19.5%,,,,,,,
4 May 2021,1468764,1494938,1357804,101.8%,92.4%,21553118,2600188,1592578,12.1%,7.4%,17327169,8603702,5051854,49.7%,29.2%,40349051,12698828,8002236,31.5%,19.8%,,,,,,,
5 May 2021,1468764,1496358,1359726,101.9%,92.6%,21553118,2630996,1632325,12.2%,7.6%,17327169,8723790,5173811,50.3%,29.9%,40349051,12851144,8165862,31.8%,20.2%,,,,,,,
6 May 2021,1468764,1497332,1361268,101.9%,92.7%,21553118,2660457,1670766,12.3%,7.8%,17327169,8837180,5285372,51.0%,30.5%,40349051,12994969,8317406,32.2%,20.6%,,,,,,,
7 May 2021,1468764,1498947,1363159,102.1%,92.8%,21553118,2691305,1708253,12.5%,7.9%,17327169,8989745,5413948,51.9%,31.2%,40349051,13179997,8485360,32.7%,21.0%,,,,,,,
8 May 2021,1468764,1499656,1364428,102.1%,92.9%,21553118,2724661,1742105,12.6%,8.1%,17327169,9096369,5504931,52.5%,31.8%,40349051,13320686,8611464,33.0%,21.3%,,,,,,,
9 May 2021,1468764,1499726,1364582,102.1%,92.9%,21553118,2726951,1748306,12.7%,8.1%,17327169,9121975,5530248,52.6%,31.9%,40349051,13348652,8643136,33.1%,21.4%,,,,,,,
