tanggal,nakes_target_vaksinasi,nakes_vaksinasi_1,nakes_vaksinasi_2,nakes_vaksinasi_1_presentase,nakes_vaksinasi_2_presentase,lansia_target_vaksinasi,lansia_vaksinasi_1,lansia_vaksinasi_2,lansia_vaksinasi_1_presentase,lansia_vaksinasi_2_presentase,pns_target_vaksinasi,pns_vaksinasi_1,nakes_vaksinasi_2,pns_vaksinasi_1_presentase,pns_vaksinasi_2_presentase,total_target_vaksinasi,total_vaksinasi_1,total_vaksinasi_2,total_vaksinasi_1_presentase,total_vaksinasi_2_presentase,vaksinasi_harian_1,vaksinasi_harian_2,umum_target_vaksinasi,umum_vaksinasi_1,umum_vaksinasi_2,umum_vaksinasi_1_presentase,umum_vaksinasi_2_presentase
5 March 2021,112301,141425,91078,125.9%,81.1%,911631,76451,0,8.4%,0.0%,1976757,64121,0,3.2%,0.0%,3000689,281997,91078,9.4%,3.0%,,,,,,,
6 March 2021,112301,144046,91379,128.3%,81.4%,911631,79421,0,8.7%,0.0%,1976757,66484,0,3.4%,0.0%,3000689,289951,91379,9.7%,3.0%,,,,,,,
7 March 2021,112301,177126,91460,157.7%,81.4%,911631,83628,0,9.2%,0.0%,1976757,73752,2514,3.7%,0.1%,3000689,334506,93974,11.1%,3.1%,,,,,,,
8 March 2021,112301,181237,92988,161.4%,82.8%,911631,95140,1,10.4%,0.0%,1976757,85333,3989,4.3%,0.2%,3000689,361710,96978,12.1%,3.2%,,,,,,,
9 March 2021,112301,113326,89984,100.9%,80.1%,911631,135128,675,14.8%,0.1%,1976757,174685,29195,8.8%,1.5%,3000689,423139,119854,14.1%,4.0%,,,,,,,
10 March 2021,112301,116791,90681,104.0%,80.7%,911631,154251,1100,16.9%,0.1%,1976757,202452,17773,10.2%,0.9%,3000689,473494,109554,15.8%,3.7%,,,,,,,
11 March 2021,112301,116823,90693,104.0%,80.8%,911631,154915,1103,17.0%,0.1%,1976757,211754,17903,10.7%,0.9%,3000689,483492,109699,16.1%,3.7%,,,,,,,
12 March 2021,112301,118086,91521,105.2%,81.5%,911631,167086,1291,18.3%,0.1%,1976757,234403,20226,11.9%,1.0%,3000689,519575,113038,17.3%,3.8%,,,,,,,
13 March 2021,112301,118283,91748,105.3%,81.7%,911631,174327,1444,19.1%,0.2%,1976757,245355,21272,12.4%,1.1%,3000689,537965,114464,17.9%,3.8%,,,,,,,
14 March 2021,112301,118301,91764,105.3%,81.7%,911631,179024,1444,19.6%,0.2%,1976757,252763,21413,12.8%,1.1%,3000689,550088,114621,18.3%,3.8%,,,,,,,
