tanggal,kecamatan,kota,target_total,target_harian,suntikan_1,keterangan,suntikan_2
11/06/2021,Cakung,Jakarta Timur,393257,5333,74966,Tidak Tercapai,37590
11/06/2021,Cengkareng,Jakarta Barat,400577,5041,85668,Tidak Tercapai,47581
11/06/2021,Kali Deres,Jakarta Barat,310580,4295,42991,Tidak Tercapai,23222
11/06/2021,Cilincing,Jakarta Utara,297146,4073,41494,Tidak Tercapai,22305
11/06/2021,Duren Sawit,Jakarta Timur,316352,4006,41413,Tidak Tercapai,28993
11/06/2021,Tanjung Priok,Jakarta Utara,298459,3728,81521,Tidak Tercapai,51856
11/06/2021,Jagakarsa,Jakarta Selatan,251984,3291,33493,Tidak Tercapai,21193
11/06/2021,Kebon Jeruk,Jakarta Barat,257954,3285,53785,Tidak Tercapai,38086
11/06/2021,Koja,Jakarta Utara,239255,3253,40095,Tidak Tercapai,23217
11/06/2021,Kebayoran Lama,Jakarta Selatan,236795,3018,50278,Tidak Tercapai,39551
11/06/2021,Jatinegara,Jakarta Timur,235252,3010,63222,Tidak Tercapai,37131
11/06/2021,Kramat Jati,Jakarta Timur,222733,2939,52251,Tidak Tercapai,36077
11/06/2021,Pasar Minggu,Jakarta Selatan,235775,2937,43323,Tidak Tercapai,27425
11/06/2021,Penjaringan,Jakarta Utara,231336,2860,90895,Tidak Tercapai,46467
11/06/2021,Ciracas,Jakarta Timur,221198,2800,32047,Tidak Tercapai,20888
11/06/2021,Pulo Gadung,Jakarta Timur,225123,2779,48208,Tidak Tercapai,30966
11/06/2021,Kembangan,Jakarta Barat,214043,2686,51430,Tidak Tercapai,33548
11/06/2021,Cipayung,Jakarta Timur,201654,2658,62833,Tidak Tercapai,47865
11/06/2021,Tambora,Jakarta Barat,200360,2565,28635,Tidak Tercapai,16484
11/06/2021,Pesanggrahan,Jakarta Selatan,185969,2378,31145,Tidak Tercapai,19138
11/06/2021,Kemayoran,Jakarta Pusat,188682,2364,85087,Tidak Tercapai,53498
11/06/2021,Tebet,Jakarta Selatan,176385,2177,45813,Tidak Tercapai,28089
11/06/2021,Grogol Petamburan,Jakarta Barat,178891,2095,93121,Tidak Tercapai,37259
11/06/2021,Palmerah,Jakarta Barat,166705,2077,45162,Tidak Tercapai,156991
11/06/2021,Pasar Rebo,Jakarta Timur,164381,2071,31829,Tidak Tercapai,21996
11/06/2021,Cilandak,Jakarta Selatan,163026,2047,54250,Tidak Tercapai,38481
11/06/2021,Makasar,Jakarta Timur,158891,1927,55656,Tidak Tercapai,38990
11/06/2021,Matraman,Jakarta Timur,139214,1745,25955,Tidak Tercapai,18699
11/06/2021,Tanah Abang,Jakarta Pusat,130291,1647,511564,Tidak Tercapai,128537
11/06/2021,Pancoran,Jakarta Selatan,126184,1612,32563,Tidak Tercapai,16683
11/06/2021,Pademangan,Jakarta Utara,121625,1492,76901,Tidak Tercapai,50323
11/06/2021,Mampang Prapatan,Jakarta Selatan,114768,1483,28263,Tidak Tercapai,16416
11/06/2021,Kebayoran Baru,Jakarta Selatan,116091,1342,114730,Tidak Tercapai,215545
11/06/2021,Taman Sari,Jakarta Barat,98165,1149,25199,Tidak Tercapai,16819
11/06/2021,Sawah Besar,Jakarta Pusat,100082,1120,39451,Tidak Tercapai,22174
11/06/2021,Kelapa Gading,Jakarta Utara,108121,1114,76263,Tidak Tercapai,42103
11/06/2021,Johar Baru,Jakarta Pusat,103494,1102,45816,Tidak Tercapai,15372
11/06/2021,Senen,Jakarta Pusat,93920,1099,77377,Tidak Tercapai,57501
11/06/2021,Setia Budi,Jakarta Selatan,86331,1019,93862,Tidak Tercapai,67141
11/06/2021,Cempaka Putih,Jakarta Pusat,74156,893,23538,Tidak Tercapai,18224
11/06/2021,Gambir,Jakarta Pusat,74839,879,128051,Tidak Tercapai,106825
11/06/2021,Menteng,Jakarta Pusat,67585,770,51423,Tidak Tercapai,32895
11/06/2021,Kep. Seribu Utara,Kepulauan Seribu,11451,122,3996,Tidak Tercapai,2850
11/06/2021,Kep. Seribu Selatan,Kepulauan Seribu,8039,82,4363,Tidak Tercapai,2818
12/06/2021,Cakung,Jakarta Timur,393257,5333,897,Tidak Tercapai,0
12/06/2021,Cengkareng,Jakarta Barat,400577,5041,429,Tidak Tercapai,1
12/06/2021,Kali Deres,Jakarta Barat,310580,4295,162,Tidak Tercapai,24
12/06/2021,Cilincing,Jakarta Utara,297146,4073,17,Tidak Tercapai,1
12/06/2021,Duren Sawit,Jakarta Timur,316352,4006,7,Tidak Tercapai,4
12/06/2021,Tanjung Priok,Jakarta Utara,298459,3728,1031,Tidak Tercapai,32
12/06/2021,Jagakarsa,Jakarta Selatan,251984,3291,39,Tidak Tercapai,2
12/06/2021,Kebon Jeruk,Jakarta Barat,257954,3285,366,Tidak Tercapai,0
12/06/2021,Koja,Jakarta Utara,239255,3253,188,Tidak Tercapai,5
12/06/2021,Kebayoran Lama,Jakarta Selatan,236795,3018,150,Tidak Tercapai,0
12/06/2021,Jatinegara,Jakarta Timur,235252,3010,1053,Tidak Tercapai,66
12/06/2021,Kramat Jati,Jakarta Timur,222733,2939,271,Tidak Tercapai,0
12/06/2021,Pasar Minggu,Jakarta Selatan,235775,2937,107,Tidak Tercapai,25
12/06/2021,Penjaringan,Jakarta Utara,231336,2860,994,Tidak Tercapai,1
12/06/2021,Ciracas,Jakarta Timur,221198,2800,59,Tidak Tercapai,29
12/06/2021,Pulo Gadung,Jakarta Timur,225123,2779,0,Tidak Tercapai,1
12/06/2021,Kembangan,Jakarta Barat,214043,2686,276,Tidak Tercapai,0
12/06/2021,Cipayung,Jakarta Timur,201654,2658,203,Tidak Tercapai,77
